name,pokedex_number,abilities,attack,capture_rate,classfication,defense,height_m,hp,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Dratini,147,"['Shed Skin', 'Marvel Scale']",64,45,Dragon Pokémon,45,1.8,41,50,50,50,dragon,,3.3,1,0
Charizard,6,"['Blaze', 'Solar Power']",104,45,Flame Pokémon,78,1.7,78,159,115,100,fire,flying,90.5,1,0
Golduck,55,"['Damp', 'Cloud Nine', 'Swift Swim']",82,75,Duck Pokémon,78,1.7,80,95,80,85,water,,76.6,1,0
Victreebel,71,"['Chlorophyll', 'Gluttony']",105,45,Flycatcher Pokémon,65,1.7,80,100,70,70,grass,poison,15.5,1,0
Rapidash,78,"['Run Away', 'Flash Fire', 'Flame Body']",100,60,Fire Horse Pokémon,70,1.7,65,80,80,105,fire,,95,1,0
Dewgong,87,"['Thick Fat', 'Hydration', 'Ice Body']",70,75,Sea Lion Pokémon,80,1.7,90,70,95,70,water,ice,120,1,0
Articuno,144,"['Pressure', 'Snow Cloak']",85,3,Freeze Pokémon,100,1.7,90,95,125,85,ice,flying,55.4,1,1
Blastoise,9,"['Torrent', 'Rain Dish']",103,45,Shellfish Pokémon,120,1.6,79,135,115,78,water,,85.5,1,0
Golbat,42,"['Inner Focus', 'Infiltrator']",80,90,Bat Pokémon,70,1.6,75,65,75,90,poison,flying,55,1,0
Machamp,68,"['Guts', 'No Guard', 'Steadfast']",130,45,Superpower Pokémon,80,1.6,90,65,85,55,fighting,,130,1,0
Tentacruel,73,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",70,60,Jellyfish Pokémon,65,1.6,80,80,120,100,water,poison,55,1,0
Slowbro,80,"['Oblivious', 'Own Tempo', 'Regenerator']",75,75,Hermit Crab Pokémon,180,1.6,95,130,80,30,water,psychic,78.5,1,0
Haunter,93,['Levitate'],50,90,Gas Pokémon,45,1.6,45,115,55,95,ghost,poison,0.1,1,0
Hypno,97,"['Insomnia', 'Forewarn', 'Inner Focus']",73,75,Hypnosis Pokémon,70,1.6,85,73,115,67,psychic,,75.6,1,0
Zapdos,145,"['Pressure', 'Static']",90,3,Electric Pokémon,85,1.6,90,125,90,100,electric,flying,52.6,1,1
Pidgeot,18,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",80,45,Bird Pokémon,80,1.5,83,135,80,121,normal,flying,39.5,1,0
Venomoth,49,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",65,75,Poison Moth Pokémon,60,1.5,70,90,75,90,bug,poison,12.5,1,0
Alakazam,65,"['Synchronize', 'Inner Focus', 'Magic Guard']",50,50,Psi Pokémon,65,1.5,55,175,105,150,psychic,,48,1,0
Machoke,67,"['Guts', 'No Guard', 'Steadfast']",100,90,Superpower Pokémon,70,1.5,80,50,60,45,fighting,,70.5,1,0
Cloyster,91,"['Shell Armor', 'Skill Link', 'Overcoat']",95,60,Bivalve Pokémon,180,1.5,50,85,45,70,water,ice,132.5,1,0
Gengar,94,['Cursed Body'],65,45,Shadow Pokémon,80,1.5,60,170,95,130,ghost,poison,40.5,1,0
Hitmonlee,106,"['Limber', 'Reckless', 'Unburden']",120,45,Kicking Pokémon,53,1.5,50,35,110,87,fighting,,49.8,1,0
Scyther,123,"['Swarm', 'Technician', 'Steadfast']",110,45,Mantis Pokémon,80,1.5,70,55,80,105,bug,flying,56,1,0
Pinsir,127,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",155,45,Stagbeetle Pokémon,120,1.5,65,65,90,105,bug,,55,1,0
Nidoking,34,"['Poison Point', 'Rivalry', 'Sheer Force']",102,45,Drill Pokémon,77,1.4,81,85,75,85,poison,ground,62,1,0
Doduo,84,"['Run Away', 'Early Bird', 'Tangled Feet']",85,190,Twin Bird Pokémon,45,1.4,35,35,35,75,normal,flying,39.2,1,0
Hitmonchan,107,"['Keen Eye', 'Iron Fist', 'Inner Focus']",105,45,Punching Pokémon,79,1.4,50,35,110,76,fighting,,50.2,1,0
Jynx,124,"['Oblivious', 'Forewarn', 'Dry Skin']",50,45,Humanshape Pokémon,35,1.4,65,115,95,95,ice,psychic,40.6,1,0
Tauros,128,"['Intimidate', 'Anger Point', 'Sheer Force']",100,45,Wild Bull Pokémon,95,1.4,75,40,70,110,normal,,88.4,1,0
Nidoqueen,31,"['Poison Point', 'Rivalry', 'Sheer Force']",92,45,Drill Pokémon,87,1.3,90,75,85,76,poison,ground,60,1,0
Clefable,36,"['Cute Charm', 'Magic Guard', 'Unaware']",70,25,Fairy Pokémon,73,1.3,95,95,90,60,fairy,,40,1,0
Poliwrath,62,"['Water Absorb', 'Damp', 'Swift Swim']",95,45,Tadpole Pokémon,95,1.3,90,70,90,70,water,fighting,54,1,0
Kadabra,64,"['Synchronize', 'Inner Focus', 'Magic Guard']",35,100,Psi Pokémon,30,1.3,40,120,70,105,psychic,,56.5,1,0
Gastly,92,['Levitate'],35,190,Gas Pokémon,30,1.3,30,100,35,80,ghost,poison,0.1,1,0
Kingler,99,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",130,60,Pincer Pokémon,115,1.3,55,50,50,75,water,,60,1,0
Seaking,119,"['Swift Swim', 'Water Veil', 'Lightningrod']",92,60,Goldfish Pokémon,65,1.3,80,65,80,68,water,,39,1,0
Mr. Mime,122,"['Soundproof', 'Filter', 'Technician']",45,45,Barrier Pokémon,65,1.3,40,100,120,90,psychic,fairy,54.5,1,0
Magmar,126,"['Flame Body', 'Vital Spirit']",95,45,Spitfire Pokémon,57,1.3,65,100,85,93,fire,,44.5,1,0
Kabutops,141,"['Swift Swim', 'Battle Armor', 'Weak Armor']",115,45,Shellfish Pokémon,105,1.3,60,65,70,80,rock,water,40.5,1,0
Fearow,22,"['Keen Eye', 'Sniper']",90,90,Beak Pokémon,65,1.2,65,61,61,100,normal,flying,38,1,0
Vileplume,45,"['Chlorophyll', 'Effect Spore']",80,45,Flower Pokémon,85,1.2,75,110,90,50,grass,poison,18.6,1,0
Slowpoke,79,"['Oblivious', 'Own Tempo', 'Regenerator']",65,190,Dopey Pokémon,65,1.2,90,40,40,15,water,psychic,36,1,0
Electrode,101,"['Soundproof', 'Static', 'Aftermath']",50,60,Ball Pokémon,70,1.2,60,80,80,150,electric,,66.6,1,0
Lickitung,108,"['Own Tempo', 'Oblivious', 'Cloud Nine']",55,45,Licking Pokémon,75,1.2,90,60,75,30,normal,,65.5,1,0
Weezing,110,['Levitate'],90,60,Poison Gas Pokémon,120,1.2,65,85,70,60,poison,,9.5,1,0
Seadra,117,"['Poison Point', 'Sniper', 'Damp']",65,75,Dragon Pokémon,95,1.2,55,95,45,85,water,,25,1,0
Charmeleon,5,"['Blaze', 'Solar Power']",64,45,Flame Pokémon,58,1.1,58,80,65,80,fire,,19,1,0
Butterfree,12,"['Compoundeyes', 'Tinted Lens']",45,45,Butterfly Pokémon,50,1.1,60,90,80,70,bug,flying,32,1,0
Pidgeotto,17,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",60,120,Bird Pokémon,55,1.1,63,50,50,71,normal,flying,30,1,0
Seel,86,"['Thick Fat', 'Hydration', 'Ice Body']",45,190,Sea Lion Pokémon,55,1.1,65,45,70,45,water,,90,1,0
Chansey,113,"['Natural Cure', 'Serene Grace', 'Healer']",5,30,Egg Pokémon,5,1.1,250,35,105,50,normal,,34.6,1,0
Starmie,121,"['Illuminate', 'Natural Cure', 'Analytic']",75,60,Mysterious Pokémon,85,1.1,60,100,85,115,water,psychic,80,1,0
Electabuzz,125,"['Static', 'Vital Spirit']",83,45,Electric Pokémon,57,1.1,65,95,85,105,electric,,30,1,0
Ivysaur,2,"['Overgrow', 'Chlorophyll']",62,45,Seed Pokémon,63,1,60,80,80,60,grass,poison,13,1,0
Wartortle,8,"['Torrent', 'Rain Dish']",63,45,Turtle Pokémon,80,1,59,65,80,58,water,,22.5,1,0
Beedrill,15,"['Swarm', 'Sniper']",150,45,Poison Bee Pokémon,40,1,65,15,80,145,bug,poison,29.5,1,0
Wigglytuff,40,"['Cute Charm', 'Competitive', 'Frisk']",70,50,Balloon Pokémon,45,1,140,85,50,45,normal,fairy,12,1,0
Parasect,47,"['Effect Spore', 'Dry Skin', 'Damp']",95,75,Mushroom Pokémon,80,1,60,60,80,30,bug,grass,29.5,1,0
Venonat,48,"['Compoundeyes', 'Tinted Lens', 'Run Away']",55,190,Insect Pokémon,50,1,60,40,55,45,bug,poison,30,1,0
Primeape,57,"['Vital Spirit', 'Anger Point', 'Defiant']",105,75,Pig Monkey Pokémon,60,1,65,60,70,95,fighting,,32,1,0
Poliwhirl,61,"['Water Absorb', 'Damp', 'Swift Swim']",65,120,Tadpole Pokémon,65,1,65,50,50,90,water,,20,1,0
Weepinbell,70,"['Chlorophyll', 'Gluttony']",90,120,Flycatcher Pokémon,50,1,65,85,45,55,grass,poison,6.4,1,0
Ponyta,77,"['Run Away', 'Flash Fire', 'Flame Body']",85,190,Fire Horse Pokémon,55,1,50,65,65,90,fire,,30,1,0
Magneton,82,"['Magnet Pull', 'Sturdy', 'Analytic']",60,60,Magnet Pokémon,95,1,50,120,70,70,electric,steel,60,1,0
Drowzee,96,"['Insomnia', 'Forewarn', 'Inner Focus']",48,190,Hypnosis Pokémon,45,1,60,43,90,42,psychic,,32.4,1,0
Rhyhorn,111,"['Lightningrod', 'Rock Head', 'Reckless']",85,120,Spikes Pokémon,95,1,80,30,30,25,ground,rock,115,1,0
Tangela,114,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",55,45,Vine Pokémon,115,1,65,100,40,60,grass,,35,1,0
Vaporeon,134,"['Water Absorb', 'Hydration']",65,45,Bubble Jet Pokémon,60,1,130,110,95,65,water,,29,1,0
Omastar,139,"['Swift Swim', 'Shell Armor', 'Weak Armor']",60,45,Spiral Pokémon,125,1,70,115,70,55,rock,water,35,1,0
Nidorino,33,"['Poison Point', 'Rivalry', 'Hustle']",72,120,Poison Pin Pokémon,57,0.9,61,55,55,65,poison,,19.5,1,0
Abra,63,"['Synchronize', 'Inner Focus', 'Magic Guard']",20,200,Psi Pokémon,15,0.9,25,105,55,90,psychic,,19.5,1,0
Tentacool,72,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,190,Jellyfish Pokémon,35,0.9,40,50,100,70,water,poison,45.5,1,0
Magikarp,129,"['Swift Swim', 'Rattled']",10,255,Fish Pokémon,55,0.9,20,15,20,80,water,,10,1,0
Flareon,136,"['Flash Fire', 'Guts']",130,45,Flame Pokémon,60,0.9,65,95,110,65,fire,,25,1,0
Nidorina,30,"['Poison Point', 'Rivalry', 'Hustle']",62,120,Poison Pin Pokémon,67,0.8,70,55,55,56,poison,,20,1,0
Zubat,41,"['Inner Focus', 'Infiltrator']",45,255,Bat Pokémon,35,0.8,40,30,40,55,poison,flying,7.5,1,0
Gloom,44,"['Chlorophyll', 'Stench']",65,120,Weed Pokémon,70,0.8,60,85,75,40,grass,poison,8.6,1,0
Psyduck,54,"['Damp', 'Cloud Nine', 'Swift Swim']",52,190,Duck Pokémon,48,0.8,50,65,50,55,water,,19.6,1,0
Machop,66,"['Guts', 'No Guard', 'Steadfast']",80,180,Superpower Pokémon,50,0.8,70,35,35,35,fighting,,19.5,1,0
Farfetch'd,83,"['Keen Eye', 'Inner Focus', 'Defiant']",90,45,Wild Duck Pokémon,55,0.8,52,58,62,60,normal,flying,15,1,0
Staryu,120,"['Illuminate', 'Natural Cure', 'Analytic']",45,225,Starshape Pokémon,55,0.8,30,70,55,85,water,,34.5,1,0
Jolteon,135,"['Volt Absorb', 'Quick Feet']",65,45,Lightning Pokémon,60,0.8,65,110,95,130,electric,,24.5,1,0
Porygon,137,"['Trace', 'Download', 'Analytic']",60,45,Virtual Pokémon,70,0.8,65,85,75,40,normal,,36.5,1,0
Bulbasaur,1,"['Overgrow', 'Chlorophyll']",49,45,Seed Pokémon,49,0.7,45,65,65,45,grass,poison,6.9,1,0
Metapod,11,['Shed Skin'],20,120,Cocoon Pokémon,55,0.7,50,25,25,30,bug,,9.9,1,0
Growlithe,58,"['Intimidate', 'Flash Fire', 'Justified']",70,190,Puppy Pokémon,45,0.7,55,70,50,60,fire,,19,1,0
Bellsprout,69,"['Chlorophyll', 'Gluttony']",75,255,Flower Pokémon,35,0.7,50,70,30,40,grass,poison,4,1,0
Charmander,4,"['Blaze', 'Solar Power']",52,45,Lizard Pokémon,43,0.6,39,60,50,65,fire,,8.5,1,0
Kakuna,14,['Shed Skin'],25,120,Cocoon Pokémon,50,0.6,45,25,25,35,bug,poison,10,1,0
Clefairy,35,"['Cute Charm', 'Magic Guard', 'Friend Guard']",45,150,Fairy Pokémon,48,0.6,70,60,65,35,fairy,,7.5,1,0
Poliwag,60,"['Water Absorb', 'Damp', 'Swift Swim']",50,255,Tadpole Pokémon,40,0.6,40,40,40,90,water,,12.4,1,0
Koffing,109,['Levitate'],65,190,Poison Gas Pokémon,95,0.6,40,60,45,35,poison,,1,1,0
Goldeen,118,"['Swift Swim', 'Water Veil', 'Lightningrod']",67,225,Goldfish Pokémon,60,0.6,45,35,50,63,water,,15,1,0
Squirtle,7,"['Torrent', 'Rain Dish']",48,45,Tiny Turtle Pokémon,65,0.5,44,50,64,43,water,,9,1,0
Nidoran♂,32,"['Poison Point', 'Rivalry', 'Hustle']",57,235,Poison Pin Pokémon,40,0.5,46,40,40,50,poison,,9,1,0
Jigglypuff,39,"['Cute Charm', 'Competitive', 'Friend Guard']",45,170,Balloon Pokémon,20,0.5,115,45,25,20,normal,fairy,5.5,1,0
Oddish,43,"['Chlorophyll', 'Run Away']",50,255,Weed Pokémon,55,0.5,45,75,65,30,grass,poison,5.4,1,0
Mankey,56,"['Vital Spirit', 'Anger Point', 'Defiant']",80,190,Pig Monkey Pokémon,35,0.5,40,35,45,70,fighting,,28,1,0
Voltorb,100,"['Soundproof', 'Static', 'Aftermath']",30,190,Ball Pokémon,50,0.5,40,55,55,100,electric,,10.4,1,0
Kabuto,140,"['Swift Swim', 'Battle Armor', 'Weak Armor']",80,45,Shellfish Pokémon,90,0.5,30,55,45,55,rock,water,11.5,1,0
Pikachu,25,"['Static', 'Lightningrod']",55,190,Mouse Pokémon,40,0.4,35,50,50,90,electric,,6,1,0
Nidoran♀,29,"['Poison Point', 'Rivalry', 'Hustle']",47,235,Poison Pin Pokémon,52,0.4,55,40,40,41,poison,,7,1,0
Krabby,98,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",105,225,River Crab Pokémon,90,0.4,30,25,25,50,water,,6.5,1,0
Exeggcute,102,"['Chlorophyll', 'Harvest']",40,90,Egg Pokémon,80,0.4,60,60,45,40,grass,psychic,2.5,1,0
Cubone,104,"['Rock Head', 'Lightningrod', 'Battle Armor']",50,190,Lonely Pokémon,95,0.4,50,40,50,35,ground,,6.5,1,0
Horsea,116,"['Swift Swim', 'Sniper', 'Damp']",40,225,Dragon Pokémon,70,0.4,30,70,25,60,water,,8,1,0
Omanyte,138,"['Swift Swim', 'Shell Armor', 'Weak Armor']",40,45,Spiral Pokémon,100,0.4,35,90,55,35,rock,water,7.5,1,0
Mew,151,['Synchronize'],100,45,New Species Pokémon,100,0.4,100,100,100,100,psychic,,4,1,1
Caterpie,10,"['Shield Dust', 'Run Away']",30,255,Worm Pokémon,35,0.3,45,20,20,45,bug,,2.9,1,0
Weedle,13,"['Shield Dust', 'Run Away']",35,255,Hairy Pokémon,30,0.3,40,20,20,50,bug,poison,3.2,1,0
Pidgey,16,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",45,255,Tiny Bird Pokémon,40,0.3,40,35,35,56,normal,flying,1.8,1,0
Spearow,21,"['Keen Eye', 'Sniper']",60,255,Tiny Bird Pokémon,30,0.3,40,31,31,70,normal,flying,2,1,0
Paras,46,"['Effect Spore', 'Dry Skin', 'Damp']",70,190,Mushroom Pokémon,55,0.3,35,45,55,25,bug,grass,5.4,1,0
Magnemite,81,"['Magnet Pull', 'Sturdy', 'Analytic']",35,190,Magnet Pokémon,70,0.3,25,95,55,45,electric,steel,6,1,0
Shellder,90,"['Shell Armor', 'Skill Link', 'Overcoat']",65,190,Bivalve Pokémon,100,0.3,30,45,25,40,water,,4,1,0
Ditto,132,"['Limber', 'Imposter']",48,35,Transform Pokémon,48,0.3,48,48,48,48,normal,,4,1,0
Eevee,133,"['Run Away', 'Adaptability', 'Anticipation']",55,45,Evolution Pokémon,50,0.3,55,45,65,55,normal,,6.5,1,0
Rattata,19,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",56,255,Mouse Pokémon,35,,30,25,35,72,normal,dark,,1,0
Raticate,20,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",71,127,Mouse Pokémon,70,,75,40,80,77,normal,dark,,1,0
Raichu,26,"['Static', 'Lightningrod', 'Surge Surfer']",85,75,Mouse Pokémon,50,,60,95,85,110,electric,electric,,1,0
Sandshrew,27,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",75,255,Mouse Pokémon,90,,50,10,35,40,ground,ice,,1,0
Sandslash,28,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",100,90,Mouse Pokémon,120,,75,25,65,65,ground,ice,,1,0
Vulpix,37,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",41,190,Fox Pokémon,40,,38,50,65,65,fire,ice,,1,0
Ninetales,38,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",67,75,Fox Pokémon,75,,73,81,100,109,fire,ice,,1,0
Diglett,50,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",55,255,Mole Pokémon,30,,10,35,45,90,ground,ground,,1,0
Dugtrio,51,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",100,50,Mole Pokémon,60,,35,50,70,110,ground,ground,,1,0
Meowth,52,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",35,255,Scratch Cat Pokémon,35,,40,50,40,90,normal,dark,,1,0
Persian,53,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",60,90,Classy Cat Pokémon,60,,65,75,65,115,normal,dark,,1,0
Geodude,74,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",80,255,Rock Pokémon,100,,40,30,30,20,rock,ground,,1,0
Graveler,75,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",95,120,Rock Pokémon,115,,55,45,45,35,rock,ground,,1,0
Golem,76,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",120,45,Megaton Pokémon,130,,80,55,65,45,rock,ground,,1,0
Grimer,88,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",80,190,Sludge Pokémon,50,,80,40,50,25,poison,poison,,1,0
Muk,89,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",105,75,Sludge Pokémon,75,,105,65,100,50,poison,poison,,1,0
Exeggutor,103,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",105,45,Coconut Pokémon,85,,95,125,75,45,grass,psychic,,1,0
Marowak,105,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",80,75,Bone Keeper Pokémon,110,,60,50,80,45,ground,fire,,1,0
Steelix,208,"['Rock Head', 'Sturdy', 'Sheer Force']",125,25,Iron Snake Pokémon,230,9.2,75,55,95,30,steel,ground,400,2,0
Lugia,249,"['Pressure', 'Multiscale']",90,3,Diving Pokémon,130,5.2,106,90,154,110,psychic,flying,216,2,1
Ho-Oh,250,"['Pressure', 'Regenerator']",130,3,Rainbow Pokémon,90,3.8,106,110,154,90,fire,flying,199,2,1
Feraligatr,160,"['Torrent', 'Sheer Force']",105,45,Big Jaw Pokémon,100,2.3,85,79,83,78,water,,88.8,2,0
Mantine,226,"['Swift Swim', 'Water Absorb', 'Water Veil']",40,25,Kite Pokémon,70,2.1,85,80,140,70,water,flying,220,2,0
Entei,244,"['Pressure', 'Inner Focus']",115,3,Volcano Pokémon,85,2.1,115,90,75,100,fire,,198,2,1
Slowking,199,"['Oblivious', 'Own Tempo', 'Regenerator']",75,70,Royal Pokémon,80,2,95,100,110,30,water,psychic,79.5,2,0
Suicune,245,"['Pressure', 'Inner Focus']",75,3,Aurora Pokémon,115,2,100,90,115,85,water,,187,2,1
Tyranitar,248,"['Sand Stream', 'Unnerve']",164,45,Armor Pokémon,150,2,100,95,120,71,rock,dark,202,2,0
Raikou,243,"['Pressure', 'Inner Focus']",85,3,Thunder Pokémon,75,1.9,90,115,100,115,electric,,178,2,1
Meganium,154,"['Overgrow', 'Leaf Guard']",82,45,Herb Pokémon,100,1.8,80,83,100,80,grass,,100.5,2,0
Furret,162,"['Run Away', 'Keen Eye', 'Frisk']",76,90,Long Body Pokémon,64,1.8,85,45,55,90,normal,,32.5,2,0
Crobat,169,"['Inner Focus', 'Infiltrator']",90,90,Bat Pokémon,80,1.8,85,70,80,130,poison,flying,75,2,0
Scizor,212,"['Swarm', 'Technician', 'Light Metal']",150,25,Pincer Pokémon,140,1.8,70,65,100,75,bug,steel,118,2,0
Ursaring,217,"['Guts', 'Quick Feet', 'Unnerve']",130,60,Hibernator Pokémon,75,1.8,90,75,75,55,normal,,125.8,2,0
Kingdra,230,"['Swift Swim', 'Sniper', 'Damp']",95,45,Dragon Pokémon,95,1.8,75,95,95,85,water,dragon,152,2,0
Typhlosion,157,"['Blaze', 'Flash Fire']",84,45,Volcano Pokémon,78,1.7,78,109,85,100,fire,,79.5,2,0
Skarmory,227,"['Keen Eye', 'Sturdy', 'Weak Armor']",80,25,Armor Bird Pokémon,140,1.7,65,40,70,70,steel,flying,50.5,2,0
Noctowl,164,"['Insomnia', 'Keen Eye', 'Tinted Lens']",50,90,Owl Pokémon,50,1.6,100,86,96,70,normal,flying,40.8,2,0
Xatu,178,"['Synchronize', 'Early Bird', 'Magic Bounce']",75,75,Mystic Pokémon,70,1.5,65,95,70,95,psychic,flying,15,2,0
Girafarig,203,"['Inner Focus', 'Early Bird', 'Sap Sipper']",80,60,Long Neck Pokémon,65,1.5,70,90,65,85,normal,psychic,41.5,2,0
Dunsparce,206,"['Serene Grace', 'Run Away', 'Rattled']",70,190,Land Snake Pokémon,70,1.5,100,65,65,45,normal,,14,2,0
Heracross,214,"['Swarm', 'Guts', 'Moxie']",185,45,Singlehorn Pokémon,115,1.5,80,40,105,75,bug,fighting,54,2,0
Blissey,242,"['Natural Cure', 'Serene Grace', 'Healer']",10,30,Happiness Pokémon,10,1.5,255,75,135,55,normal,,46.8,2,0
Ledian,166,"['Swarm', 'Early Bird', 'Iron Fist']",35,90,Five Star Pokémon,50,1.4,55,55,110,85,bug,flying,35.6,2,0
Ampharos,181,"['Static', 'Plus']",95,45,Light Pokémon,105,1.4,90,165,110,45,electric,,61.5,2,0
Quagsire,195,"['Damp', 'Water Absorb', 'Unaware']",85,90,Water Fish Pokémon,85,1.4,95,65,65,35,water,ground,75,2,0
Granbull,210,"['Intimidate', 'Quick Feet', 'Rattled']",120,75,Fairy Pokémon,75,1.4,90,60,60,45,fairy,,48.7,2,0
Houndoom,229,"['Early Bird', 'Flash Fire', 'Unnerve']",90,45,Dark Pokémon,90,1.4,75,140,90,115,dark,fire,35,2,0
Stantler,234,"['Intimidate', 'Frisk', 'Sap Sipper']",95,45,Big Horn Pokémon,62,1.4,73,85,65,85,normal,,71.2,2,0
Hitmontop,237,"['Intimidate', 'Technician', 'Steadfast']",95,45,Handstand Pokémon,95,1.4,50,35,110,70,fighting,,48,2,0
Wobbuffet,202,"['Shadow Tag', 'Telepathy']",33,45,Patient Pokémon,58,1.3,190,33,58,33,psychic,,28.5,2,0
Bayleef,153,"['Overgrow', 'Leaf Guard']",62,45,Leaf Pokémon,80,1.2,60,63,80,60,grass,,15.8,2,0
Lanturn,171,"['Volt Absorb', 'Illuminate', 'Water Absorb']",58,75,Light Pokémon,58,1.2,125,76,76,67,water,electric,22.5,2,0
Sudowoodo,185,"['Sturdy', 'Rock Head', 'Rattled']",100,65,Imitation Pokémon,115,1.2,70,30,65,30,rock,,38,2,0
Yanma,193,"['Speed Boost', 'Compoundeyes', 'Frisk']",65,75,Clear Wing Pokémon,45,1.2,65,75,45,95,bug,flying,38,2,0
Forretress,205,"['Sturdy', 'Overcoat']",90,75,Bagworm Pokémon,140,1.2,75,60,60,40,bug,steel,125.8,2,0
Smeargle,235,"['Own Tempo', 'Technician', 'Moody']",20,45,Painter Pokémon,35,1.2,55,20,45,75,normal,,58,2,0
Miltank,241,"['Thick Fat', 'Scrappy', 'Sap Sipper']",80,45,Milk Cow Pokémon,105,1.2,95,40,70,100,normal,,75.5,2,0
Pupitar,247,['Shed Skin'],84,45,Hard Shell Pokémon,70,1.2,70,65,70,51,rock,ground,152,2,0
Croconaw,159,"['Torrent', 'Sheer Force']",80,45,Big Jaw Pokémon,80,1.1,65,59,63,58,water,,25,2,0
Ariados,168,"['Swarm', 'Insomnia', 'Sniper']",90,90,Long Leg Pokémon,70,1.1,70,60,70,40,bug,poison,33.5,2,0
