Playlist,Track,Artist,Wiki Genre,AI_Genre,Num_of_Listens
USA,Snooze,SZA,"R&B, pop",R&B,"1,657,288,777"
USA,Scared To Start,Michael Marcagi,Folk,Indie Folk,"693,069,582"
USA,You Proof,Morgan Wallen,Country pop,Country,"892,578,684"
USA,Die With A Smile,"Lady Gaga, Bruno Mars","Pop-soul, soft rock",Pop,"2,883,037,745"
USA,Pink + White,Frank Ocean,"R&B, neo soul",R&B,"1,909,311,806"
USA,Pink Skies,Zach Bryan,Country,Country,"575,128,896"
USA,Feather,Sabrina Carpenter,"Pop, dance, disco, bubble gum",Pop,"969,401,627"
USA,I Can Do It With a Broken Heart,Taylor Swifth,"Electro, pop, dance-pop, new wave, synth-disco",Pop,"707,287,046"
USA,Red Wine Supernova,Chappell Roan,"Pop, synth-pop. dance-pop. electro",Pop,"532,483,180"
USA,Mmhmm,BigXthaPlug,"Pop-punk, Christian rock, alternative rock",Hip-Hop,"435,494,831"
USA,Who,Jimin,"Dance-pop, R&B, hip hop",Pop,"1,941,851,033"
USA,Never Lose Me,Flo Milli,Hip hop,Hip-Hop,"519,264,772"
USA,Slow It Down,Benson Boone,Pop rock,Pop,"865,748,233"
USA,Taste,Sabrina Carpenter,"Pop, glam-pop, country pop, pop rock, indie rock, slacker rock, soft rock, rock",Pop,"1,187,324,853"
USA,Evergreen,Richy Mitch & The Coal Miners,Folk Rock,Indie Folk,"1,023,524,797"
Global,,,,,"2,480,797,848"
Global,,,,,"2,402,702,787"
Global,,,,,"2,947,838,393"
Global,,,,,"1,759,155,375"
Global,,,,,"1,992,646,884"
Global,,,,,"1,638,520,430"
Global,,,,,"1,658,524,712"
Global,,,,,"2,071,854,401"
Global,,,,,"3,037,813,611"
Global,,,,,"2,883,037,745"
Global,,,,,"1,360,835,077"
Global,,,,,"1,547,197,951"
Global,,,,,"1,567,142,859"
Global,,,,,"1,721,458,516"
Global,,,,,"1,934,609,622"
Global,,,,,"1,278,268,052"
Global,,,,,"1,941,851,033"
Global,,,,,"1,417,783,278"
Global,,,,,"1,379,237,210"
Global,,,,,"1,635,412,929"
Global,,,,,"1,690,860,950"
Global,,,,,"3,247,907,890"
Global,,,,,"1,590,685,451"
Global,,,,,"3,219,675,453"
Global,,,,,"1,230,840,950"
Global,,,,,"3,972,145,447"
Global,,,,,"1,392,550,372"
Global,,,,,"2,511,482,118"
Global,,,,,"1,000,765,676"
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
Global,,,,,
